Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
dragon-ice-bears-240ml-x-36ct,Dragon Ice Bears 240ml x 36ct,,DutchRusk,Uncategorized,"","Drinks, New",true,Pack Size,Shipper,,,,,,,,ICEBEAR_Shipper,0.0,shopify,9,deny,manual,40.40,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/ICEBEARDragonIceBears.jpg?v=1773959756,1,"",false,,,,,,,,,,,,,,,,,,,,kg,,,active
bic-lighters-printed-sailor-x-50ct,Bic Lighters Printed  - Sailor x 50ct,,DutchRusk,Uncategorized,"","Lighters, New",true,Pack Size,Outer,,,,,,,,B0228_Outer,0.0,shopify,32,deny,manual,80.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/B0228BICMaxiSailorShipLightersSpecialEditionPocketLighters.jpg?v=1773875563,1,"",false,,,,,,,,,,,,,,,,,,,,kg,,,active
bic-lighters-printed-wire-x-50ct,Bic Lighters Printed  - Wire x 50ct,,DutchRusk,Uncategorized,"","Lighters, New",true,Pack Size,Outer,,,,,,,,B0227_Outer,0.0,shopify,34,deny,manual,80.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/B0227BicLighters-Wire.jpg?v=1773875545,1,"",false,,,,,,,,,,,,,,,,,,,,kg,,,active
bundaberg-dekopon-manadrin-375ml-x-12ct,Bundaberg Dekopon Mandarin 375ml x 12ct,,Bundaberg,Uncategorized,"","Drinks, New",true,Pack Size,Shipper,,,,,,,,2187_Shipper,0.0,shopify,21,deny,manual,29.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/2187BundabergDekopon375ml.jpg?v=1773871847,1,"",false,,,,,,,,,,,,,,,,,,,,kg,,,active
oreo-140g-original-x-20ct,Oreo 140g Original x 20ct,,Cadbury,Uncategorized,"","hide-packet, New",true,Pack Size,Packet,,,,,,,,4324728_Packet,0.0,shopify,76,deny,manual,1.40,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/4324728Oreo128goriginal.jpg?v=1773782235,1,"",false,,,,,,,,,,,,,,,,,,,,kg,,,active
oreo-140g-original-x-20ct,,,,,,,,,Shipper (20 Packet),,,,,,,,4324728_Shipper,0.0,shopify,3,deny,manual,28.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
h2-chocolate-coconut-water-1lt-x-6ct,H2 Chocolate Coconut Water 1Lt x 6ct,,DutchRusk,Uncategorized,"","Drinks, New",true,Pack Size,Shipper,,,,,,,,C425_Shipper,0.0,shopify,56,deny,manual,26.64,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/C425H2Choc1ltr.jpg?v=1773871830,1,"",false,,,,,,,,,,,,,,,,,,,,kg,,,active
h2-coconut-lychee-water-1lt-x-6ct,H2 Coconut Lychee Water 1Lt x 6ct,,DutchRusk,Uncategorized,"","Drinks, New",true,Pack Size,Shipper,,,,,,,,C424_Shipper,0.0,shopify,18,deny,manual,26.64,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/C424H2Lychee1ltr.jpg?v=1773871781,1,"",false,,,,,,,,,,,,,,,,,,,,kg,,,active
890-below-water-500ml-x-24ct,890 Below Water 500ml x 24ct,,DutchRusk,Uncategorized,"","Drinks, New",true,Pack Size,Shipper,,,,,,,,890BELOW_Shipper,0.0,shopify,19,deny,manual,40.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/890BELOW890BelowWater500ml.jpg?v=1773871755,1,"",false,,,,,,,,,,,,,,,,,,,,kg,,,active
whittakers-blocks-250g-jelly-tip-x-12ct,Whittakers Blocks 250g Jelly Tip x 12ct,,Whittakers,"Food, Beverages & Tobacco > Food Items > Candy & Chocolate","","New, Night n Day Misc",true,Pack Size,Block,,,,,,,,WHIT029_Block,0.0,shopify,35,deny,manual,7.77,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/WHIT029WhittakersJellyTipblock.jpg?v=1773273252,1,"",false,,,4748,,,,,,,,,,,,,,,,,kg,,,active
whittakers-blocks-250g-jelly-tip-x-12ct,,,,,,,,,Outer (12 Block),,,,,,,,WHIT029_Outer,0.0,shopify,2,deny,manual,93.24,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
lolliland-giant-swirlypops-200g-x-12ct,Lolliland Giant Swirlypops 200g x 12ct,,DutchRusk,"Food, Beverages & Tobacco > Food Items > Candy & Chocolate","","Lollipops, New",true,Pack Size,Outer,,,,,,,,L0190_Outer,0.0,shopify,0,deny,manual,31.05,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/L0190LollilandGiantSwirlypop200g.jpg?v=1773273214,1,"",false,,,4748,,,,,,,,,,,,,,,,,kg,,,active
clipper-lighter-driving-skulls-x-48ct,Clipper Lighter - Driving Skulls x 48ct,,DutchRusk,Hardware > Tools > Lighters & Matches > Gas Lighters,"","Lighters, New",true,Pack Size,Outer,,,,,,,,C0204_Outer,0.0,shopify,14,deny,manual,39.15,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/C0204ClipperDrivingSkulls.jpg?v=1773273168,1,"",false,,,503774,,,,,,,,,,,,,,,,,kg,,,active
clipper-lighter-driving-skulls-x-48ct,,,,,,,,,Shipper (10 Outer),,,,,,,,C0204_Shipper,0.0,shopify,1,deny,manual,391.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
kool-aid-sharkleberry-soda-355ml-x-12ct,Kool Aid Sharkleberry Soda 355ml x 12ct,,DutchRusk,"Food, Beverages & Tobacco > Beverages","","Drinks, New",true,Pack Size,Shipper,,,,,,,,270469_Shipper,0.0,shopify,1,deny,manual,35.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/270469KoolAidSharkleberry.jpg?v=1773273119,1,"",false,,,413,,,,,,,,,,,,,,,,,kg,,,active
kool-aid-blue-rasp-lemonade-355ml-x-12ct,Kool Aid Blue Rasp Lemonade 355ml x 12ct,,DutchRusk,"Food, Beverages & Tobacco > Beverages","","Drinks, New",true,Pack Size,Shipper,,,,,,,,270452_Shipper,0.0,shopify,0,deny,manual,35.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/270452KoolAidBlueRaspLemonade.jpg?v=1773273088,1,"",false,,,413,,,,,,,,,,,,,,,,,kg,,,active
kool-aid-black-cherry-soda-355ml-x-12ct,Kool Aid Black Cherry Soda 355ml x 12ct,,DutchRusk,"Food, Beverages & Tobacco > Beverages","","Drinks, New",true,Pack Size,Shipper,,,,,,,,270445_Shipper,0.0,shopify,2,deny,manual,35.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/270445KoolAidBlackCherry.jpg?v=1773273036,1,"",false,,,413,,,,,,,,,,,,,,,,,kg,,,active
empire-granny-mints-2kg,Empire Granny Mints 2kg,,DutchRusk,"Food, Beverages & Tobacco > Food Items > Candy & Chocolate","",2kg,true,Pack Size,Outer,,,,,,,,13_Outer,0.0,shopify,0,deny,manual,27.40,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/13EmpireGrannyMints.jpg?v=1773195961,1,"",false,,,4748,,,,,,,,,,,,,,,,,kg,,,active
empire-granny-mints-2kg,,,,,,,,,Shipper (10 Outer),,,,,,,,13_Shipper,0.0,shopify,0,deny,manual,274.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
takis-85g-fuego-x-20ct,Takis 85g Fuego x 20ct,,DutchRusk,"Food, Beverages & Tobacco > Food Items > Snack Foods > Chips","","Chips, New",true,Pack Size,Shipper,,,,,,,,515798_Shipper,0.0,shopify,3,deny,manual,71.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/515798Takis85gFuego.jpg?v=1773188288,1,"",false,,,2392,,,,,,,,,,,,,,,,,kg,,,active
takis-85g-dragon-sweet-x-20ct,Takis 85g Dragon Sweet x 20ct,,DutchRusk,"Food, Beverages & Tobacco > Food Items > Snack Foods > Chips","","Chips, New",true,Pack Size,Shipper,,,,,,,,515797_Shipper,0.0,shopify,11,deny,manual,71.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/515797Takis85DragonSweet.jpg?v=1773188246,1,"",false,,,2392,,,,,,,,,,,,,,,,,kg,,,active
takis-85g-intense-nacho-x-20ct,Takis 85g Intense Nacho x 20ct,,DutchRusk,"Food, Beverages & Tobacco > Food Items > Snack Foods > Chips","","Chips, New",true,Pack Size,Shipper,,,,,,,,515796_Shipper,0.0,shopify,15,deny,manual,71.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/515796Takis85gIntenseNacho.jpg?v=1773188097,1,"",false,,,2392,,,,,,,,,,,,,,,,,kg,,,active
sweetarts-theatre-box-141g-x10ct,Sweetarts Theatre Box 141g x10ct,,DutchRusk,"Food, Beverages & Tobacco > Food Items > Candy & Chocolate","",New,true,Pack Size,Outer,,,,,,,,S0107_Outer,0.0,shopify,6,deny,manual,31.75,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/S0107Sweetarts141g.jpg?v=1773188034,1,"",false,,,4748,,,,,,,,,,,,,,,,,kg,,,active
3d-gummy-candy-324g-x-12ct,3D Gummy Candy 324g x 12ct,,DutchRusk,"Food, Beverages & Tobacco > Food Items > Candy & Chocolate","",New,true,Pack Size,Outer,,,,,,,,IGD3DGC_Outer,0.0,shopify,63,deny,manual,7.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/IGD3DGC3d-juicy-gummy-fruit-burst.jpg?v=1773872126,1,"",false,,,4748,,,,,,,,,,,,,,,,,kg,,,active
3d-gummy-candy-324g-x-12ct,,,,,,,,,Shipper (12 Outer),,,,,,,,IGD3DGC_Shipper,0.0,shopify,5,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
extreme-z-watermelon-40g-x24ct,Extreme Z Watermelon 40g x24ct,,Extreme Z,"Food, Beverages & Tobacco > Food Items > Candy & Chocolate","",New,true,Pack Size,Outer,,,,,,,,GCEXWM_Outer,0.0,shopify,0,deny,manual,18.20,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/GCEXWMExtremeZWatermelon.jpg?v=1773187717,1,"",false,,,4748,,,,,,,,,,,,,,,,,kg,,,active
extreme-z-watermelon-40g-x24ct,,,,,,,,,Shipper (8 Outer),,,,,,,,GCEXWM_Shipper,0.0,shopify,0,deny,manual,145.60,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
florestal-assorted-mini-heart-lollipop-6g-x-200ct,Florestal Assorted Mini HEART Lollipop 6g x 200ct,,DutchRusk,"Food, Beverages & Tobacco > Food Items > Candy & Chocolate","",New,true,Pack Size,Outer,,,,,,,,FL135_Outer,0.0,shopify,9,deny,manual,11.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/FL135FlorestalMiniHeartLollipop.jpg?v=1773187582,1,"",false,,,4748,,,,,,,,,,,,,,,,,kg,,,active
florestal-assorted-mini-heart-lollipop-6g-x-200ct,,,,,,,,,Shipper (10 Outer),,,,,,,,FL135_Shipper,0.0,shopify,0,deny,manual,119.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
white-chocolate-drops-200g,White Chocolate Drops 200g,,DutchRusk,"Food, Beverages & Tobacco > Food Items > Candy & Chocolate","","New, Timezone F&B",true,Pack Size,Packet,,,,,,,,CHOCDROP_Packet,0.0,shopify,0,deny,manual,5.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/CHOCDROPWhiteChocolateDrops.jpg?v=1773187414,1,"",false,,,4748,,,,,,,,,,,,,,,,,kg,,,active
qbs-crunch-cheese-40g,QBs Crunchy Cheese 40g,,DutchRusk,"Food, Beverages & Tobacco > Food Items > Snack Foods","","New, Snacks",true,Pack Size,Bag,,,,,,,,CHEESE02_Bag,0.0,shopify,0,deny,manual,5.13,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/CHEESE02QB_SCHEESE40G.jpg?v=1773187147,1,"",false,,,423,,,,,,,,,,,,,,,,,kg,,,active
qbs-crunch-cheese-20g,QBs Crunchy Cheese 20g,,DutchRusk,"Food, Beverages & Tobacco > Food Items > Snack Foods","","New, Snacks",true,Pack Size,Bag,,,,,,,,CHEESE01_Bag,0.0,shopify,47,deny,manual,2.77,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/CHEESE01QB_SCHEESE20G.jpg?v=1773187112,1,"",false,,,423,,,,,,,,,,,,,,,,,kg,,,active
c-h-raspberry-and-peach-drops-tin-175g-x10ct,C&H Raspberry And Peach Drops Tin 175g x10ct,,Cavendish & Harvey,"Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy","",New,true,Pack Size,Outer,,,,,,,,CAHRPD_Outer,0.0,shopify,13,deny,manual,42.70,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/CAHRPDC_HRaspberryPeach.jpg?v=1773187058,1,"",false,,,4748,,,,,,,,,,,,,,,,,kg,,,active
takis-dragon-sweet-chilli-68g-x-36ct,Takis 68g Dragon Sweet Chilli x 36ct,,DutchRusk,"Food, Beverages & Tobacco > Food Items > Snack Foods > Chips","","Chips, New",true,Pack Size,Shipper,,,,,,,,515803_Shipper,0.0,shopify,0,deny,manual,78.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/515803TakiDragonSweetChilli.jpg?v=1773093908,1,"",false,,,2392,,,,,,,,,,,,,,,,,kg,,,active
life-savers-pink-lemonade-twister-205g-x-12,Life Savers Pink Lemonade Twister 205g x 12,,DutchRusk,"Food, Beverages & Tobacco > Food Items > Candy & Chocolate","","Licorice, New",true,Pack Size,Bag,,,,,,,,5141_Bag,0.0,shopify,0,deny,manual,3.70,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/5141LifesaversPinkLemonadeTwister.png?v=1773189663,1,"",false,,,4748,,,,,,,,,,,,,,,,,kg,,,active
life-savers-pink-lemonade-twister-205g-x-12,,,,,,,,,Shipper (12 Bag),,,,,,,,5141_Shipper,0.0,shopify,0,deny,manual,44.40,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
life-savers-twisters-strawberry-205g-x-12ct,Life Savers Twisters Strawberry 205g x 12ct,,DutchRusk,"Food, Beverages & Tobacco > Food Items > Candy & Chocolate","","Licorice, New",true,Pack Size,Bag,,,,,,,,5140_Bag,0.0,shopify,1,deny,manual,3.70,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/5140LifesaversStrawberryTwister.jpg?v=1773189537,1,"",false,,,4748,,,,,,,,,,,,,,,,,kg,,,active
life-savers-twisters-strawberry-205g-x-12ct,,,,,,,,,Shipper (12 Bag),,,,,,,,5140_Shipper,0.0,shopify,0,deny,manual,44.40,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
carousel-raspberry-bites-5kg,Carousel Raspberry Bites 5kg,,Carousel,Uncategorized,"","Licorice, New",true,Pack Size,Shipper,,,,,,,,3338_Shipper,0.0,shopify,4,deny,manual,67.70,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/3338CarouselRaspBites25mm.jpg?v=1773189330,1,"",false,,,,,,,,,,,,,,,,,,,,kg,,,active
sweets-nz-chocolate-fudge-bar-50g-x-30ct,Sweets NZ Chocolate Fudge Bar 50g x 30ct,,DutchRusk,"Food, Beverages & Tobacco > Food Items > Candy & Chocolate","",New,true,Pack Size,Outer,,,,,,,,306_Outer,0.0,shopify,32,deny,manual,33.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/306Sweets-NZ-Chocolate-Fudge-Bar-50g.jpg?v=1773189391,1,"",false,,,4748,,,,,,,,,,,,,,,,,kg,,,active
sweets-nz-chocolate-fudge-bar-50g-x-30ct,,,,,,,,,Shipper (2 Outer),,,,,,,,306_Shipper,0.0,shopify,16,deny,manual,67.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
panadol-rapid-handipak-8s,Panadol Rapid Handipak 8s,,DutchRusk,Uncategorized,"","Health, New",true,Pack Size,Each,,,,,,,,1288640_Each,0.0,shopify,159,deny,manual,3.75,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/1288640PanadolRapidHandipack10s.jpg?v=1773189465,1,"",false,,,,,,,,,,,,,,,,,,,,kg,,,active
panadol-rapid-handipak-8s,,,,,,,,,Outer (12 Each),,,,,,,,1288640_Outer,0.0,shopify,13,deny,manual,45.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
panadol-rapid-handipak-8s,,,,,,,,,Shipper (144 Each),,,,,,,,1288640_Shipper,0.0,shopify,1,deny,manual,540.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
panadol-optizorb-caplets-16s,Panadol Optizorb Caplets 16s,,DutchRusk,Uncategorized,"","Health, New",true,Pack Size,Each,,,,,,,,1263312_Each,0.0,shopify,173,deny,manual,5.45,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/1263312PanadolOptizorbCaplets12s.jpg?v=1773189440,1,"",false,,,,,,,,,,,,,,,,,,,,kg,,,active
panadol-optizorb-caplets-16s,,,,,,,,,Outer (24 Each),,,,,,,,1263312_Outer,0.0,shopify,7,deny,manual,130.80,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
panadol-optizorb-caplets-16s,,,,,,,,,Shipper (288 Each),,,,,,,,1263312_Shipper,0.0,shopify,0,deny,manual,1569.60,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
nestle-kit-kat-4-finger-cookies-n-creme-kingsize-65g-x-24ct,Nestle Kit Kat 4 Finger Cookies n Creme Kingsize 65g x 24ct,,Nestle,"Food, Beverages & Tobacco > Food Items > Candy & Chocolate","","Nestle Share Bar Chocolates, New, Night n Day Misc",true,Pack Size,Outer,,,,,,,,12629833_Outer,0.0,shopify,0,deny,manual,66.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/12629833KitKatCookiesnCreme12629833.jpg?v=1773189986,1,"",false,,,4748,,,,,,,,,,,,,,,,,kg,,,active
nestle-kit-kat-4-finger-cookies-n-creme-kingsize-65g-x-24ct,,,,,,,,,Shipper (6 Outer),,,,,,,,12629833_Shipper,0.0,shopify,0,deny,manual,396.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
jack-links-mr-beast-beef-stick-25g-twin-pack,Jack Links Mr Beast Beef Stick 25g Twin Pack,,Jack Links,"Food, Beverages & Tobacco > Food Items > Snack Foods > Jerky","",New,true,Pack Size,Outer,,,,,,,,101331951_Outer,0.0,shopify,20,deny,manual,45.55,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/101331951JackLinksMrBeastBeefStick.jpg?v=1773187009,1,"",false,,,3284,,,,,,,,,,,,,,,,,kg,,,active
jack-links-mr-beast-beef-stick-25g-twin-pack,,,,,,,,,Shipper (12 Outer),,,,,,,,101331951_Shipper,0.0,shopify,1,deny,manual,546.60,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
jack-links-mr-beast-beef-jerky-45g,Jack Links Mr Beast Beef Jerky 45g,,Jack Links,"Food, Beverages & Tobacco > Food Items > Snack Foods > Jerky","",New,true,Pack Size,Outer,,,,,,,,101331950_Outer,0.0,shopify,18,deny,manual,48.89,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/101331950JackLinksMrBeastBeefJerky.jpg?v=1773186950,1,"",false,,,3284,,,,,,,,,,,,,,,,,kg,,,active
jack-links-mr-beast-beef-jerky-45g,,,,,,,,,Shipper (12 Outer),,,,,,,,101331950_Shipper,0.0,shopify,1,deny,manual,586.68,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
chupa-chups-faces-lollipops-x-35ct,Chupa Chups Faces Lollipops x 35ct,,Chupa Chups,"Food, Beverages & Tobacco > Food Items > Candy & Chocolate","",New,true,Pack Size,Bag,,,,,,,,10127967-1_Bag,0.0,shopify,31,deny,manual,3.66,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0668/0861/1129/files/10127967-1ChupaChupsFaces.jpg?v=1773186895,1,"",false,,,4748,,,,,,,,,,,,,,,,,kg,,,active
chupa-chups-faces-lollipops-x-35ct,,,,,,,,,Outer (5 Bag),,,,,,,,10127967-1_Outer,0.0,shopify,6,deny,manual,18.30,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
chupa-chups-faces-lollipops-x-35ct,,,,,,,,,Shipper (6 Bag),,,,,,,,10127967-1_Shipper,0.0,shopify,5,deny,manual,21.96,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
